#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xinput,"for laptops with touchpads."
,polkit,"manages user policies."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-font-awesome,"provides extended glyph support."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ueberzug,"enables previews in the lf file manager."
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,atool,"replaces two following."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/mutt-wizard.git,"is a light-weight terminal-based email system."
G,https://gitlab.com/ghalv/dwmblocks.git,"serves as the modular status bar."
G,https://gitlab.com/ghalv/dwm.git,"is the window manager."
G,https://gitlab.com/ghalv/st.git,"is my custom build of suckless's terminal emulator."
G,https://git.suckless.org/slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,libdvdcss,"is used to play DVDs."
,lxsession,"is a password-prompt."
,calcurse,"is a curses-based calendar."
,weechat,"is an IRC client."
,redshift,"dims blue light."
,ttf-joypixels,"is an emoji pack."
,ttf-dejavu,"is needed for dmenu emojis."
,rsync,"is a usefull file transfering tool."
,tmux,"is a terminal multiplier."
,mosh,"is an improved version of ssh."
,neofetch,"is a useful meme."
,numlockx,"enables numlock on boot."
,curl,"is a fetch tool."
,isync,"is a downloader for email."
,msmtp,"is a msmtp client."
,neomutt,"is an email client."
,notmuch,"is a program for searching email."
,notmuch-runtime,"is a program for searching email."
,pass,"stores passwords."
,perl,"is used by mutt-wizard."
,cronie,"is a cron manager."
,cronie-runit,"needed for artix."
,openssh-runit,"ssh package needed for runit."
,transmission-cli,"torrent client."
A,stig,"needed for transmission."
A,dashbinsh,"changens systemshell to dash."
,elinks,"is used by mutt-wizard."
,imagemagick,"is used by mutt-wizard."
,links,"is used by mutt-wizard."
A,pam-gnupg,"is a password handler."
A,urlview,"views urls."
,w3m,"is used bu mutt-wizard."
,sdcv,"is a terminal dictionary."
,r,"is a statistical programming language."
,tk,"is needed for r."
,tcl,"is needed for r."
,cups,"is needed for printing."
,cups-runit,"cups runit component."
,artools-base,"are the scripts that come on the artix iso."
